Country,Name Star,Citation Name Star,Name Exoplanet,Citation Name Exoplanet,Theme,Star catalog ID,Exoplanet catalog ID,Constelation,Star colour,Star type,Link to SIMBAD
Malta,Sansuna,Sansuna is the name of the mythological giant from traditional Maltese folk tales that carried the stones of the Gozo megalithic temples on her head.,Ġgantija,"Ġgantija means giantess: the megalithic temple complex on the island of Gozo, which alludes to the grandeur of this gas giant exoplanet.","Names associated with the megalithic temples of Ġgantija on the island of Gozo, Malta, a UNESCO World Heritage Site.",HAT-P-34,HAT-P-34 b,Sagitta,yellow-white,dwart,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HAT-P-34
Mauritius,Diya,"Diya is an oil lamp that is brought by Indian ancestors to Mauritius in the 1820's, and is used for lighting during special occasions, including the light festival of Diwali.",Cuptor,"Cuptor is a thermally insulated chamber used for baking or drying substances, that has long disappeared in Mauritius and has been replaced by more sophisticated ovens.",Terms associated with light and heat used in Mauritius.,WASP-72,WASP-72 b,Fornax,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-72
Mexico,Axólotl,"Axólotl means water animal in the native Nahuatl language, which is a unique and culturally significant endemic amphibious species from the basin of Mexico.",Xólotl,Xólotl means animal in the native Nahuatl language and was an Aztec deity associated with the evening star (Venus).,Nahuatl language names of animals of Mexico associated with Aztec mythology.,HD 224693,HD 224693 b,Cetus,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+224693
Mongolia,Mazalaai,"Mazaalai is the Mongolian name for the endangered Gobi bear subspecies (Ursus arctos gobiensis) of the Gobi Desert region of Mongolia, and the name of the first Mongolian satellite.",Bambaruush,"Bambaruush is the Mongolian term for 'bear cub', the offspring of the endangered Mazaalai (Gobi bear) of the Gobi Desert.",Mongolian names associated with the endangered Gobi bear (Mazalaai in Mongolian) and its habitats in the Gobi desert region of Mongolia.,HAT-P-21,HAT-P-21 b,Ursa Major,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=HAT-P-21
Morocco,Tislit,Tislit is the name of a lake in the Atlas mountains of Morocco. It means the bride in the Amazigh language and it is associated with a heartbroken beautiful girl in an ancient local legend.,Isli,Isli is the name of a lake in the Atlas mountains of Morocco. It means the groom in the Amazigh language and it is associated with a heartbroken handsome boy in an ancient local legend.,Names from Amazigh legends associated with Lakes Tisli and Isli of the Atlas Mountains of Morocco.,WASP-161,WASP-161 b,Puppis,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-161
Mozambique,Emiw,Emiw represents love in the local Makhuwa language of the northern region of Mozambique.,Hairu,Hairu represents unity in the local Makhuwa language of the northern region of Mozambique.,Terms associated with love and unity in the Makhuwa language of northern Mozambique.,HD 7199,HD 7199 b,Tucana,orange,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+7199
Myanmar,Ayeyarwady,Ayeyarwady is the largest and most important river in Myanmar.,Bagan,Bagan is one of Myanmar's ancient cities that lies beside the Ayeyarwardy river.,"Names associated with the ancient city of Bagan, a UNESCO World Heritage Site in the Mandalay region of Myanmar.",HD 18742,HD 18742 b,Eridanus,yellow,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+18742
Nepal,Sagarmatha,Sagarmatha is the Nepali name for the highest peak in the world (also known as Mount Everest) and symbol of national pride of Nepal.,Laligurans,Laligurans are the Nepali variation of the rhododendron flower and is the national flower of Nepal.,Natural national symbols of Nepal.,HD 100777,HD 100777 b,Leo,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+100777
Netherlands,Sterrennacht,The Sterrennacht (Starry Night) is a world-famous painting by Dutch grand master Van Gogh that was painted in France in 1889 and now belongs to the permanent collection of New York's Museum of Modern Art.,Nachtwacht,The Nachtwacht (Night Watch) is a world-famous painting by Dutch grand master Rembrandt that was completed in 1642 and now belongs to the collection of the Rijksmuseum in Amsterdam.,Names associated with world-famous paintings by Dutch masters.,HAT-P-6,HAT-P-6 b,Andromeda,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HAT-P-6
New Zealand,Karaka,"Karaka is the word in the Māori language for a plant endemic to New Zealand that produces a bright orange, fleshy fruit.",Kererū,Kererū is the word in the Māori language for a large bush pigeon native to New Zealand.,Māori language terms for names of plants and animals in symbiotic relationships which are endemic to New Zealand (Aotearoa).,HD 137388,HD 137388 b,Apus,orange,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+137388
Nicaragua,Cocibolca,Cocibolca is the Nahualt name for the largest lake in Central America in Nicaragua.,Xolotlan,"Xolotlan is the name of the second largest lake of Nicaragua and its name is from the Nahualt language of the indigenous tribe that settled in Nicaragua, which symbolises a native god and a refuge for animals.","Indigenous names of prominent bodies of water in Nicaragua, in the Nahuat language.",HD 4208,HD 4208 b,Sculptor,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+4208
Nigeria,Amadioha,"Amadioha is the god of thunder in Igbo mythology. As well as representing justice, Amadioha is also a god of love, peace and unity.",Equiano,"Equiano was a writer and abolitionist from Ihiala, Nigeria who fought injustice and the elimination of the slave trade.",Historical or mythological figures of Nigeria who stand for justice and human dignity.,HD 43197,HD 43197 b,Canis Major,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+43197
Norway,Násti,Násti means star in the Northern Sami language of Norway.,Albmi,Albmi means sky in the Northern Sami language of Norway.,Terms associated with the sky and celestial bodies in the Northern Sami language of Norway.,HD 68988,HD 68988 b,Ursa Major,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+68988
Pakistan,Shama,"Shama is an Urdu literary term meaning a small lamp or flame, symbolic of the light of the star.",Perwana,"Perwana means moth in Urdu, alluding to the eternal love of an object circling the source of light (the lamp).",Symbolic terms associated with affinity and dedication in Urdu literature of Pakistan.,HD 99109,HD 99109 b,Leo,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+99109
Palestine,Moriah,Moriah is an ancient name for the mountain within the Old City of Jerusalem.,Jebus,Jebus was the ancient name of Jerusalem in 2nd millennium BC when populated by the Canaanite tribe of Jebusites.,Ancient (pre-Roman) names of the city of Jerusalem (The City of Peace) or local geographic features.,HAT-P-23,HAT-P-23 b,Delphinus,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HAT-P-23
Panama,Montuno,"Montuno is the traditional costume the man wears in the “El Punto”, a Panamanian dance in which a man and woman dance to the sound of drums.",Pollera,"Pollera is the traditional costume the woman wears in the El Punto, a Panamanian dance in which a man and woman dance to the sound of drums.",Names associated with traditional costumes for Panamanian folk dances.,WASP-79,WASP-79 b,Eridanus,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-79
Paraguay,Tupã,Tupã is one of four principle gods of the Guarani Cosmogony in popular Paraguayan folklore that helped the supreme god Ñamandu to create the Universe.,Tumearandu,"Tume Arandu is a son of Rupavê and Sypavê, the original man and woman of the Universe, who is known as the Father of Wisdom in popular Paraguayan folklore.",Deities and characters from the creation mythology of the Guarani indigenous population of South America.,HD 108147,HD 108147 b,Crux,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+108147
Peru,Inquill,Inquill was one half of the couple involved in the tragic love story Way to the Sun by famous Peruvian writer Abraham Valdelomar.,Sumajmajta,Sumaj Majta was one half of the couple involved in a tragic love story Way to the Sun by famous Peruvian writer Abraham Valdelomar.,Names of characters from the story Way to the Sun and other works by Peruvian writer Abraham Valdelomar (1888–1919).,HD 156411,HD 156411 b,Ara,yellow,subgiant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+156411
Philippines,Amansinaya,"Aman Sinaya is one of the two trinity deities of the Philippine's Tagalog mythology, and is the primordial deity of the ocean and protector of fisherman.",Haik,Haik is the successor of the primordial Aman Sinaya as the God of the Sea of the Philippine's Tagalog mythology.,Names of deities associated with the sea from the Tagalog mythology of the Philippines.,WASP-34,WASP-34 b,Crater,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-34
Pitcairn Islands,Uklun,Uklun means us or we in the Pitkern language of the people of Pitcairn Islands.,Leklsullun,Lekl Sullun means child or children in the Pitkern language of the people of Pitcairn Islands.,"Terms referring to people, groups, and family in the Pitkern language of Pitcairn Island.",HD 102117,HD 102117 b,Centaurus,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+102117
Poland,Solaris,Solaris is the title of a 1961 science fiction novel about an ocean-covered exoplanet by Polish writer Stanislaw Lem.,Pirx,Pirx is a fictional character from books by Polish science-fiction writer Stanisław Lem.,Names of characters and places associated with books by Polish science fiction author Stanisław Lem (1921–2006).,BD+14 4559,BD+14 4559 b,Pegasus,orange,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=BD+14+4559
Portugal,Lusitânia,Lusitânia is the ancient name of the western region of the Iberic Peninsula where the Lusitanian people lived and where most of modern-day Portugal is situated.,Viriato,"Viriato was a legendary leader of the Lusitanian people, a herdsman and hunter who led the resistance against Roman invaders during 2nd century B.C.",Names of places and people associated with the ancient history of Portugal and the western part of the Iberian Peninsula.,HD 45652,HD 45652 b,Monoceros,orange,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+45652
Puerto Rico,Koeia,Koeia was the word for star in the language of the Taíno Indigenous People of the Caribbean.,Aumatex,Aumatex was the God of Wind in the mythology of the Taíno Indigenous People of the Caribbean.,Names of terms and deities associated with the heavens and atmosphere from the mythology of the Indigenous Taíno people of the Caribbean.,HIP 12961,HIP 12961 b,Eridanus,red,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HIP+12961
Romania,Moldoveanu,Moldoveanu is the highest peak in Romania of the Făgăraș mountain range with an altitude of 2544 metres.,Negoiu,Negoiu is the second highest peak in Romania of the Făgăraș mountain range with an altitude of 2535 metres.,"Names of prominent peaks of the Făgăraș Mountain Range, representing the highest mountains in Romania.",XO-1,XO-1 b,Corona Borealis,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=XO-1
Russia,Dombay,"Dombay is a resort region in the North Caucasus mountains that is enclosed by mountain forests and rich wildlife, including bears (as this star lies in the constellation Ursa Major, the great bear).",Teberda,"Teberda is a mountain river in Dombay region with a rapid water flow, symbolising the planet's rapid motion around its host star.","Names of geographic features associated with the Teberda Nature Reserve in the Caucasus Mountains of Russia, a popular tourist destination 
with mountain forests rich in wildlife including bears.",HAT-P-3,HAT-P-3 b,Ursa Major,orange,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HAT-P-3
Senegal,Belel,Belel is a rare source of water in the north of Senegal.,Dopere,Dopere is an expansive historical area in the north of Senegal where Belel was located.,"Historic water wells and villages in the vicinity of Ourossogui, Senegal.",HD 181342,HD 181342 b,Sagittarius,orange,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+181342
Serbia,Morava,Morava is the longest river system in Serbia.,Vlasina,Vlasina is one of the most significant tributaries of the South Morava river.,Names associated with rivers that flow through Serbia.,WASP-60,WASP-60 b,Pegasus,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-60
Singapore,Parumleo,"Parumleo is a Latin term for little lion, symbolising Singapore's struggle for independence.",Viculus,"Viculus is a Latin term for little village, embodying the spirit of the Singaporean people.","Latin terms associated with community and lions, embodying the national spirit of the people of Singapore.",WASP-32,WASP-32 b,Pisces,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-32
Slovakia,Chasoň,Chasoň is an ancient Slovak term for Sun.,Kráľomoc,Kráľomoc is an ancient Slovak term for the planet Jupiter.,Ancient names for celestial bodies in Slovak language.,HAT-P-5,HAT-P-5 b,Lyra,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HAT-P-5
Slovenia,Irena,Irena is a leading character in the novel Under the Free Sun: a Story of the Ancient Grandfathers by Slovene writer Fran Saleški Finžgar. Irena is a woman of the court.,Iztok,Iztok is a leading character in the novel Under the Free Sun: a Story of the Ancient Grandfathers by Slovene writer Fran Saleški Finžgar. Iztok is a freedom fighter for the Slavic people.,"Names of people and places associated with the novel Pod svobodnim soncem: povest davnih dedov (Under the Free Sun: A Story of the 
Ancient Grandfathers) written by Slovene writer Fran Saleški Finžgar (1871–1962).",WASP-38,WASP-38 b,Hercules,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-38
South Africa,Naledi,"Naledi means star in the Sesotho, SeTswana and SePedi languages and is typically given as a name to girls in the hope that they will bring light, joy and peace to their communities.",Krotoa,"Krotoa is considered the Mother of Africa and member of the indigenous Khoi people, who was a community builder and educator during colonial times.","Names honouring heroines who have overcome adversity in the history of South Africa. Naledi means star in several South African languages, including Sesotho, Setswana, and Sepedi.",WASP-62,WASP-62 b,Dorado,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-62
South Korea,Baekdu,"Baekdu is the highest mountain on the Korean peninsula, situated in North Korea, and symbolises the national spirit of Korea.",Halla,Halla is the highest mountain in South Korea and is regarded as a sacred place in the region.,Sacred peaks of Korea and symbols of peace and spirituality among the Korean people.,8 Umi,8 Umi b,Ursa Minor,yeollow,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=8+Umi
Spain,Rosaliadecastro,"Rosalia de Castro was a significant figure of Galician culture and prominent Spanish writer, whose pioneeting work often referenced the night and celestial objects.",Riosar,Rio Sar is the name of a river that was present in much of the literary work of the pioneering Spanish author Rosalía de Castro.,Names and places associated with the writing and life of Galician and Spanish writer Rosalía de Castro (1837–1885).,HD 149143,HD 149143 b,Ophiuchus,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+149143
Sri Lanka,Sāmaya,Sāmaya means peace in the Sinhalese language.,Samagiya,Samagiya means togetherness and unity in the Sinhalese language.,Terms associated with peace and unity in the Sinhalese language of Sri Lanka.,HD 205739,HD 205739 b,Piscis Austrinus,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+205739
Sweden,Aniara,Aniara is the name of a spaceship in the epic poem Aniara by Swedish author Harry Martinson.,Isagel,Isagel is the name of the spaceship pilot in the epic science fiction poem Aniara written by Swedish author Harry Martinson.,"Names associated with the epic science fiction poem Aniara (1956) written by Swedish author Harry Martinson, joint winner of the Nobel Prize in Literature in 1974.",HD 102956,HD 102956 b,Ursa Major,orange,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+102956
Switzerland,Mönch,Mönch is one of the prominent peaks of the Bernese Alps in Switzerland.,Eiger,"Eiger is one of the prominent peaks of the Bernese Alps, in the Jungfrau-Aletsch protected area.","Prominent peaks in the Jungfrau-Aletsch Region of the Swiss Alps, the first Alpine UNESCO World Natural Heritage Site. Jungfrau shares its etymology with Virgo (maiden) in the German language.",HD 130322,HD 130322 b,Virgo,orange,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+130322
Syria,Ebla,"Ebla was one of the earliest kingdoms in Syria, and served as a prominent region in the 2nd and 3rd millenia B.C.",Ugarit,Ugarit was a city where its scribes devised the Ugaritic alphabet around 1400 B.C. The alphabet was made up of thirty letters and was inscribed on clay tablets.,Names associated with ancient cities and kingdoms of the bronze age in Syria.,HD 218566,HD 218566 b,Pisces,orange,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+218566
Tanzania,Mpingo,Mpingo is a famous tree that grows in southern Tanzania and produces ebony wood used for musical instruments and curios.,Tanzanite,Tanzanite is the name of a precious stone mined in Tanzania and is treasured worldwide.,Names of famous natural materials symbolic of Tanzania.,WASP-71,WASP-71 b,Cetus,yellow-white,subgiant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-71
Thailand,Chaophraya,Chao Phraya is the great river of Thailand.,Maeping,Mae Ping is one of the tributaries of Thailand's great river Chao Phraya.,Names associated with the great river Chao Phraya of Thailand and its principal tributaries.,WASP-50,WASP-50 b,Eridanus,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-50
Togo,Atakoraka,Atakoraka means the chain of the Atacora: the largest mountain range in Togo.,Agouto,Agouto (Mount Agou) is the highest mountain in Togo and a treasured region of the Atakoraka.,"Names associated with the Atakoraka (Atakora) or Togo Mountains of Togo, which support spectacular sites for tourism and important resources.",WASP-64,WASP-64 b,Canis Major,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-64
Trinidad and Tobago,Dingolay,"Dingolay means to dance, twist and turn in elaborate movements, symbolising the culture and language of the ancestors of the people of Trinidad and Tobago.",Ramajay,"Ramajay means to sing and make music in a steelpan style, representing the love of culture and languages of the ancestors of the people of Trinidad and Tobago.",Lingo associated with music and carnival festivities of Trinidad and Tobago.,HD 96063,HD 96063 b,Leo,yellow,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+96063
Tunisia,Chechia,"Chechia is a flat-surfaced, traditional red wool hat worn by men and women, symbolising the country's rich traditions and is considered as the national headdress for in Tunisia.",Khomsa,"Khomsa is a palm-shaped amulet that is popular in Tunisia, used in jewelry and decorations. It depicts an open right hand and is often found in modern designs.",Names associated with traditional dress and culture of Tunisia.,HD 192699,HD 192699 b,Aquila,yellow,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+192699
Turkey,Anadolu,Anadolu is the primary homeland of Turkey and refers to the motherland in Turkish culture.,Göktürk,"Göktürk refers to the historical origin of the Turkish people, as it was the first established state in Turkey in 5th century AD. It is also the name of a Turkish satellite and is the combination of two words, of which 'Gök' means sky.",Names for the oldest settlements and ancient names for the lands on the Anatolian peninsula in Turkish language.,WASP-52,WASP-52 b,Pegasus,orange,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-52
Ukraine,Berehynia,"Berehynia was a Slavic deity of waters and riverbanks but in more recent times her status has been promoted to that of a national goddess — ""hearth mother, protectress of the earth"".",Tryzub,"Tryzub is the most recognised ancient symbol of Ukraine, that was minted on the coins of Prince Volodymyr the Great and today remains one of the country's state symbols (a small coat).",Names of ancient national symbols of the Ukrainian people.,HAT-P-15,HAT-P-15 b,Perseus,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HAT-P-15
United Arab Emirates,Sharjah,"Sharjah is the cultural capital of United Arab Emirates, and considered the city of knowledge due to its many educational centers, institutes, museums, libraries and heritage centers.",Barajeel,A barajeel is a wind tower used to direct the flow of the wind so that air can be recirculated as a form of air conditioning.,Names associated with the landmarks and architecture of the historical city of Sharjah in United Arab Emirates.,HIP 79431,HIP 79431 b,Scorpius,red,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HIP+79431
United Kingdom,Gloas,"In Manx Gaelic, Gloas means to shine (like a star).",Cruinlagh,"In Manx Gaelic, Cruinlagh means to orbit (like a planet around its star).","Terms referring to the physical processes of a planet or star in Manx Gaelic, a language spoken on the Isle of Man.",WASP-13,WASP-13 b,Lynx,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-13
United States of America,Nushagak,"Nushagak is a regional river near Dilingham, Alaska, which is famous for its wild salmon that sustain local Indigenous communities.",Mulchatna,"The Mulchatna River is a tributary of the Nushagak River in southwestern Alaska, USA.","Names of rivers associated with the Bristol Bay watershed of southwestern Alaska, USA, famous for wild salmon which sustain local Indigenous communities.",HD 17156,HD 17156 b,Cassiopeia,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+17156
Uruguay,Ceibo,Ceibo is the name of the native tree of Uruguay that gives rise to the national flower.,Ibirapitá,"Ibirapitá is the name of a native tree that is characteristic of the country of Uruguay, and is also known as Artigas' tree, after the national hero.",Culturally significant species of trees native to Uruguay.,HD 63454,HD 63454 b,Chamaeleon,orange,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+63454
Zambia,Natasha,Natasha means thank you in many languages of Zambia.,Madalitso,Madalitso means blessings in the native language of Nyanja in Zambia.,Terms associated with appreciation and blessings in the languages of Zambia.,HD 85390,HD 85390 b,Vela,orange,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+85390
